page,en,zh
62,Unit 6,第六单元
62,"Energy, nature and us",能源、自然与我们
62,Why is saving energy important?,为什么节约能源很重要？
62,"In this unit, you will:",在本单元中，你将：
62,talk about energy resources and ways to save energy.,谈论能源资源和节约能源的方法。
62,"describe different types of green energy and the ""3R"" rules.","描述不同类型的绿色能源以及""3R""原则。"
62,read and discover ideas for saving energy.,阅读并发现节约能源的方法。
62,write a letter to an editor about energy saving.,写一封关于节约能源的信给编辑。
63,"Write, compare and share",写作、比较与分享
63,List three things that use energy from the sun.,列出三种使用太阳能的事物。
63,Discuss what other natural resources we can use.,讨论我们还可以利用哪些其他自然资源。
63,Look and think,看一看，想一想
63,What natural resources do these machines need?,这些机器需要什么自然资源？
63,What things in your daily life use energy?,你日常生活中哪些事物需要使用能源？
63,Listen and sing 🎧,听录音并演唱 🎧
63,Helping our planet,帮助我们的星球
63,,✅ 参考答案示例
63,List three things that use energy from the sun:,
63,Solar panels use energy from the sun.,
63,Plants use energy from the sun to grow.,
63,Solar-powered cars use energy from the sun.,
63,What natural resources do these machines need? The solar panels need sunlight. The wind turbines need wind.,
63,"What things in your daily life use energy? Lights, computers, televisions and air conditioners use energy in my daily life.",
64,A Where do we get energy?,我们从哪里获取能源？
64,🟠 Let's talk,🟠 让我们来谈一谈
64,The children are having a science class. Listen and answer. 🎧,孩子们正在上科学课。听录音并回答。🎧
64,What was the class about?,这节课是关于什么的？
64,What is their homework?,他们的作业是什么？
64,"Binbin: Hi, Mike. Any ideas about our project?",彬彬：嗨，迈克。关于我们的项目，你有什么想法？
64,Mike: Maybe we can talk about water power.,迈克：也许我们可以谈论水能。
64,Binbin: OK. We use water every day. Let's find out more about water power.,彬彬：好的。我们每天都使用水。让我们更多地了解水能吧。
64,Mike: What do you know about it?,迈克：关于水能，你知道些什么？
64,Binbin: Running water can make electricity. We can get power from the sea too.,彬彬：流动的水可以发电。我们也可以从大海中获取能量。
64,Mike: What else do you want to know about water?,迈克：关于水，你还想了解什么？
64,"Binbin: Well, where does water come from? How do we make power from water?",彬彬：嗯，水从哪里来？我们如何用水来发电？
64,Mike: Good questions. Let's go to the library. We can work on it together.,迈克：问得好。我们去图书馆吧。我们可以一起研究这个问题。
64,Binbin: Good idea!,彬彬：好主意！
64,What did they choose for their project?,他们为项目选择了什么主题？
64,What does Binbin want to know about it?,彬彬想了解关于这个主题的哪些内容？
64,🟠 Discuss and complete,🟠 讨论并完成
64,What do I know?,
64,What do I want to know?,
64,What I learnt?,
64,"Water comes from rivers, lakes and seas.",
64,How much fresh water does Earth have? Does water have a smell?,✅ 参考答案示例
64,1. What was the class about? The class was about energy and natural resources.,
64,2. What is their homework? Their homework is to find out more about water power.,
64,What did they choose for their project? They chose water power for their project.,
64,What does Binbin want to know about it? Binbin wants to know where water comes from and how we make power from water.,
64,Discuss and complete（,示例）:
64,What do I know?,
64,What do I want to know?,
64,What I learnt?,
64,"Water comes from rivers, lakes and seas.",
64,How much fresh water does Earth have? Does water have a smell?,
64,Most of Earth's water is in the oceans. Fresh water is a very small part. Water has no smell when it is clean.,
65,🟠 Let's learn,🟠 学一学
65,"Wind power, solar power and water power are types of green energy. They are clean and good for Mother Earth.",风能、太阳能和水能都是绿色能源。它们清洁环保，对地球母亲有益。
65,"We use green energy to light, heat and cool our homes and schools. We also use it to run cars, buses and trains.",我们利用绿色能源为家庭和学校提供照明、供暖和制冷。我们还用它来驱动汽车、公共汽车和火车。
65,Our project is about green energy.,我们的项目是关于绿色能源的。
65,"Wind power, solar power and water power are types of green energy. We use them to ...",风能、太阳能和水能都是绿色能源。我们用它们来……
65,"🟠 Think, write and talk",🟠 想一想，写一写，说一说
65,cool a room,为房间降温
65,heat a house,为房屋供暖
65,light a bulb,点亮灯泡
65,run a car,驱动汽车
65,"Electricity is useful. We use electricity to _______________, _______________, and _______________.",电能非常有用。我们用电能来_______________、和。
65,What can make electricity?,什么可以发电？
65,"_______________, _______________ and _______________ can make electricity.",_______________、_______________和_______________可以发电。
65,,✅ 参考答案示例
65,"Electricity is useful. We use electricity to ... We use electricity to cool a room, heat a house, light a bulb and run a car.",
65,"What can make electricity? Wind power, solar power and water power can make electricity.","对话示例： — Our project is about green energy. — Wind power, solar power and water power are types of green energy. We use them to light our homes and run cars and buses."
66,B How do we save energy?,我们如何节约能源？
66,🟠 Let's talk,🟠 让我们来谈一谈
66,Binbin and Mike are presenting their project. Listen and answer. 🎧,彬彬和迈克正在展示他们的项目。听录音并回答。🎧
66,What makes some rivers and lakes dry up?,是什么让一些河流和湖泊干涸？
