page,en,zh
4,What famous landmarks do you know?,你知道哪些著名的地标？
4,Let's talk.,说一说。
4,Zhang Peng is talking with Peter.,张鹏正在和彼得交谈。
4,What day is it?,今天是星期几？
4,A. Saturday,B. Sunday,C. Friday,星期六；星期日；星期五
4,What will Zhang Peng do now?,张鹏现在要做什么？
4,A. He'll meet a friend,B. He'll answer a call,C. He'll have a class,他要见朋友；他要接电话；他要上课
4,Zhang Peng: Hi, Peter! How was your weekend?,张鹏：嗨，彼得！你周末过得怎么样？
4,Peter: Not too bad. And you?,彼得：还不错，你呢？
4,Zhang Peng: I climbed the Great Wall.,张鹏：我爬了长城。
4,Peter: The Great Wall is amazing.,彼得：长城很壮观。
4,Zhang Peng: It's about 21,000 kilometres long.,张鹏：它大约有两万一千千米长。
4,Peter: I visited the Gingerbread House last Saturday.,彼得：我上周六参观了“姜饼屋”。
4,Zhang Peng: Did you eat gingerbread?,张鹏：你吃姜饼了吗？
4,Peter: No, it's a beautiful train station in New Zealand.,彼得：没有，那是一座新西兰的火车站。
4,Zhang Peng: Sounds interesting. Send me pictures.,张鹏：听起来很有趣，发我一些照片吧。
4,What did the boys do last weekend?,这两个男孩上周末做了什么？
4,What facts do you learn from their conversation?,你从他们的对话中了解到哪些事实？
4,Interview and report.,采访并汇报。
4,What do you often do at the weekend?,你周末经常做什么？
4,What did you do last weekend?,你上周末做了什么？
4,John: I often play football near my home.,约翰：我经常在家附近踢足球。
4,John: I played Chinese chess last Saturday.,约翰：我上周六下了中国象棋。
4,John often plays football at the weekend.,约翰周末经常踢足球。
4,But last weekend, he played Chinese chess.,但是上周末他下了中国象棋。
